STATE_CODE,STATE_NAME,CITY
AK,Alaska,Adak
AK,Alaska,Akiachak
AK,Alaska,Akiak
AK,Alaska,Akutan
AK,Alaska,Alakanuk
AK,Alaska,Aleknagik
AK,Alaska,Allakaket
AK,Alaska,Ambler
AK,Alaska,Anaktuvuk Pass
AK,Alaska,Anchor Point
AK,Alaska,Anchorage
AK,Alaska,Anderson
AK,Alaska,Angoon
AK,Alaska,Aniak
AK,Alaska,Anvik
AK,Alaska,Arctic Village
AK,Alaska,Atka
AK,Alaska,Atqasuk
AK,Alaska,Auke Bay
AK,Alaska,Barrow
AK,Alaska,Beaver
AK,Alaska,Bethel
AK,Alaska,Bettles Field
AK,Alaska,Big Lake
AK,Alaska,Brevig Mission
AK,Alaska,Buckland
AK,Alaska,Cantwell
AK,Alaska,Central
AK,Alaska,Chalkyitsik
AK,Alaska,Chefornak
AK,Alaska,Chevak
AK,Alaska,Chicken
AK,Alaska,Chignik
AK,Alaska,Chignik Lagoon
AK,Alaska,Chignik Lake
AK,Alaska,Chitina
AK,Alaska,Chugiak
AK,Alaska,Circle
AK,Alaska,Clam Gulch
AK,Alaska,Clarks Point
AK,Alaska,Clear
AK,Alaska,Coffman Cove
AK,Alaska,Cold Bay
AK,Alaska,Cooper Landing
AK,Alaska,Copper Center
AK,Alaska,Cordova
AK,Alaska,Craig
AK,Alaska,Crooked Creek
AK,Alaska,Deering
AK,Alaska,Delta Junction
AK,Alaska,Denali National Park
AK,Alaska,Dillingham
AK,Alaska,Douglas
AK,Alaska,Dutch Harbor
AK,Alaska,Eagle
AK,Alaska,Eagle River
AK,Alaska,Eek
AK,Alaska,Egegik
AK,Alaska,Eielson Afb
AK,Alaska,Ekwok
AK,Alaska,Elfin Cove
AK,Alaska,Elim
AK,Alaska,Elmendorf Afb
AK,Alaska,Emmonak
AK,Alaska,Ester
AK,Alaska,Fairbanks
AK,Alaska,False Pass
AK,Alaska,Fort Greely
AK,Alaska,Fort Richardson
AK,Alaska,Fort Wainwright
AK,Alaska,Fort Yukon
AK,Alaska,Gakona
AK,Alaska,Galena
AK,Alaska,Gambell
AK,Alaska,Girdwood
AK,Alaska,Glennallen
AK,Alaska,Goodnews Bay
AK,Alaska,Grayling
AK,Alaska,Gustavus
AK,Alaska,Haines
AK,Alaska,Healy
AK,Alaska,Holy Cross
AK,Alaska,Homer
AK,Alaska,Hoonah
AK,Alaska,Hooper Bay
AK,Alaska,Hope
AK,Alaska,Houston
AK,Alaska,Hughes
AK,Alaska,Huslia
AK,Alaska,Hydaburg
AK,Alaska,Hyder
AK,Alaska,Iliamna
AK,Alaska,Indian
AK,Alaska,Juneau
AK,Alaska,Kake
AK,Alaska,Kaktovik
AK,Alaska,Kalskag
AK,Alaska,Kaltag
AK,Alaska,Karluk
AK,Alaska,Kasigluk
AK,Alaska,Kasilof
AK,Alaska,Kenai
AK,Alaska,Ketchikan
AK,Alaska,Kiana
AK,Alaska,King Cove
AK,Alaska,King Salmon
AK,Alaska,Kipnuk
AK,Alaska,Kivalina
AK,Alaska,Klawock
AK,Alaska,Kobuk
AK,Alaska,Kodiak
AK,Alaska,Kongiganak
